Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
黎,hide,hide,hide,hide,「你知道你的房间里有一大罐维生素片吗？」,室内,日常（侦探）,False,,
零,hide,hide,zero-suprise,hide,「啊？维生素片？」,室内,,,,
,hide,hide,zero-suprise,hide,少女的神情充满了疑惑。,室内,,,,
零,hide,hide,zero-suprise,hide,「原来我曾经还吃这种东西吗？」,室内,,,,
黎,hide,hide,zero-suprise,hide,「不，既然出现在你家里了，就说明应该是吃过的吧……」,室内,,,,
黎,hide,hide,zero-suprise,hide,「你现在吃的药物里，有长得跟这个很像的吗？」,室内,,,,
,hide,hide,zero-suprise,hide,我把化验单的结果拍在零的面前，问道。,室内,,,,
零,hide,hide,zero-hurt,hide,「这种药是？我这段时间吃的药太多，而且都是护士给我配好的，所以我不太清楚是什么，但好像确实有个和这个很像的……」,室内,,,,
黎,hide,hide,zero-hurt,hide,「好，那就说得通了——」,室内,,,,
,hide,hide,hide,hide,我一直觉得这个故事碎片很奇怪，几个疑点似乎怎么想都无法得到妥善解答。,室内,,,,
,hide,hide,hide,hide,首先，碧说过大概率只有零和空知道的、关于空妹妹的事情。,室内,,,,
,hide,hide,hide,hide,其次，零主观上和空第一次见面，但零感觉空似乎早就认识她。,室内,,,,
,hide,hide,hide,hide,再者，关于空的下落，我也很好奇——明明一个大活人消失，为什么会没有家属报案呢？,室内,,,,
,hide,hide,hide,hide,如果这是个推理小说，那么在小说末尾，侦探会给出一个惊天大反转——,室内,,,,
,hide,hide,hide,hide,在给读者以惊讶的同时，又能直接解答故事的诸多疑问。,室内,,,,
,hide,hide,hide,hide,但可惜现实并不是推理小说，也不会那样有逻辑。,室内,,,,
,hide,hide,hide,hide,我接受了这么多委托，从来没有一个委托像这样特别，这样没有逻辑。,室内,,,,
,hide,hide,hide,hide,我根本从故事逻辑上拼不出来这些碎片，感觉怎么拼都有矛盾——,室内,,,,
,hide,hide,hide,hide,故事和故事之间的冲突太大，每个片段的语言风格差异也相当明显，很难想象是一个精神正常的人的回忆——,室内,,,,
,hide,hide,hide,hide,所以如果，是精神不正常的人呢？,室内,,,,
,hide,hide,hide,hide,把思路逆转过来之后，一切都迎刃而解了。,室内,,,,
,hide,hide,hide,hide,如果将记忆片段按言语的逻辑性来排列，即表达逻辑最严密的在前，最混乱的在后，那么就可以得到这样一个顺序。,室内,,,,
,hide,hide,hide,hide,如果将一切归咎于“精神错乱”，似乎能解决所有问题。,室内,,,,
,hide,hide,hide,hide,不过，这只是一种猜想罢了——,室内,,,,
,hide,hide,hide,hide,由于零一直在吃药，所以我很难判断一个正在接受治疗的人有什么太大精神问题，毕竟精神类药物副作用再多，也总能抑制住主要症状。,室内,,,,
,hide,hide,hide,hide,我抱着这种猜想，拿到了药物检测报告，得到了一个不怎么乐观的答案。,室内,,,,
,hide,hide,hide,hide,（看来只能去碰碰运气了——）,,,,,
,hide,hide,hide,hide,（碧的房间）,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「那么，以上就是我目前推断的结果——怎么样，有没有推理小说那种感觉了？」,碧的房间,,,,
碧,hide,hide,aoi-default,hide,「如果你是来我家讲这种事情的话，那么可以请你离开吗？」,碧的房间,,,,
碧,hide,hide,aoi-default,hide,「你还说我朋友可能有精神病？哪有你这么诽谤的。」,碧的房间,,,,
,hide,hide,aoi-default,hide,少女露出了嫌弃的表情，好像对我的推理故事完全不感兴趣。,碧的房间,,,,
,hide,hide,aoi-default,hide,自我介绍时，碧显然对我的身份，以及我进了零房间这件事相当惊讶。,碧的房间,,,,
,hide,hide,aoi-default,hide,我只得介绍了零的委托，以及自己的能力。,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「不，实际上我看过医院给零开的药——里面确实是有精神类药物的。但她平时服用的又仅仅是维生素片，你不觉得这有哪里奇怪吗？」,碧的房间,,,,
碧,hide,hide,aoi-default,hide,「我倒是不觉得哪里奇怪，我只看到了一位可疑人士在我家里胡言乱语——」,碧的房间,,,,
,hide,hide,aoi-default,hide,碧丝毫不掩盖她话语里的恶意和嫌弃。,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「好了好了，不要生气，马上就到最精彩的部分了。」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「我们先把药物放到一遍，来谈论另一个有趣的事——」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「我本来以为你跟零表白的事情是发生在零和空熟识之后的，毕竟你们俩的聊天里提到了“让她受伤”。我本来就直接假设了，那个“她”该不会就是空吧——」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「但是，我很快发现这么推理的话，后面的路走不通不说，刚才的那些疑点也完全得不到解决。我本以为药物化验结果能给我点思路，但很可惜，药物只是单纯的药物而已。」,碧的房间,,,,
碧,hide,hide,aoi-default,hide,「所以呢，如果再说这种无聊的东西的话我真的要请你出去了——」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「所以，我不得不猜想，会不会那段回忆里的“她”另有所指？」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「既然这样的话，那么就表明你跟她表白被拒绝发生在一切的开始——」,碧的房间,,,,
碧,hide,hide,aoi-default,hide,「哦？」,碧的房间,,,,
,hide,hide,aoi-default,hide,碧原本生气的表情变成了好奇，似乎在等待着我的下一句话。,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「很可惜，虽然表白那天的日期我大概知道，但我并不知道其他回忆的具体日期。所以我并不能直接说我的猜想就是对的——」,碧的房间,,,,
碧,hide,hide,aoi-default,hide,「我还以为黎先生能说出什么有意思的、能吸引我的东西呢——到头来，还是在自顾自地胡言乱语嘛……」,碧的房间,,,,
碧,hide,hide,aoi-default,hide,「亏我对这样的黎先生有什么期待呢——这样的话，门在那边……」,碧的房间,,,,
,hide,hide,aoi-default,hide,少女不耐烦地请我离开她的屋子。,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「不过我发现了一个玩偶，一个放在零家里书柜上、耳朵掉了一只的玩偶——」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「那是零当妹妹般珍视的东西吧……如果对话里指的对象是那个玩偶的话，一切不就说的通了吗……某个人的嫉妒心甚至上升到了娃娃，然后选择了破坏。」,碧的房间,,,,
碧,hide,hide,aoi-panic,hide,（唔——）,碧的房间,,,,
,hide,hide,aoi-panic,hide,少女明显动摇了——看来说中了。,碧的房间,,,,
碧,hide,hide,aoi-panic,hide,「不过知道这个，又能怎么样呢？」,碧的房间,,,,
黎,hide,hide,aoi-panic,hide,「哟？现在不赶我出去了？」,碧的房间,,,,
碧,hide,hide,aoi-panic,hide,「我突然觉得你说话还挺有意思的。」,碧的房间,,,,
碧,hide,hide,aoi-panic,hide,「你继续说吧，我倒要看看你能说到什么地步——」,碧的房间,,,,
,hide,hide,aoi-panic,hide,碧明显来了兴致，饶有意味地跟我说着。,碧的房间,,,,
黎,hide,hide,aoi-panic,hide,（这小丫头真的是不知天高地厚啊……）,碧的房间,,,,
黎,hide,hide,aoi-panic,hide,「刚才我们说了吧，那段回忆发生在开头——就代表后面的故事都是发生在告白之后。那这样的话，似乎有一种可能性就冒出来了——一种可以解答所有疑问的可能性。」,碧的房间,,,,
黎,hide,hide,aoi-panic,hide,「碧，你知道换掉一个精神病患者的药物有多严重吗——」,碧的房间,,,,
碧,hide,hide,aoi-panic,hide,（唔——）,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「如果你表白后恼羞成怒，偷偷换掉了她的药物，那么一切都说得通了。」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「所有的矛盾都可以归咎为幻觉不说，关于空的下落也很明朗了——」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「空其实根本不存在，对吧。你早就认识到这点了。」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「空根本从一开始就是零的幻想！零想逃离你的掌控，所以以自己的娃娃为原型构建了一个人出来！」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「从头到尾，都是零一个人在自言自语！她的回忆不仅骗了她，最开始也骗到了我。」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「而你甚至会因为一个不存在的人而吃醋，甚至再次伤害被你伤害过一遍的朋友！」,碧的房间,,,,
碧,hide,hide,aoi-default,hide,「一派胡言。」,碧的房间,,,,
,hide,hide,aoi-default,hide,少女露出了比刚才还要嫌弃的表情。,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「把朋友的药换掉可是犯罪行为，碧。我们随时可以请警察介入——」,碧的房间,,,,
碧,hide,hide,aoi-default,hide,「警察介入了又能怎么样呢？你没有证据的话，根本证明不了什么。」,碧的房间,,,,
碧,hide,hide,aoi-default,hide,「说我会换药？说我会换掉有精神疾病的青梅竹马的药？你在说什么呢。我当然知道这是会出事的啊，我怎么可能会干出这种事——」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「你不是一开始说我说你朋友有精神病是诽谤吗？」,碧的房间,,,,
碧,hide,hide,aoi-default,hide,「那又怎样？反正你抓不到什么证据。有可能是零哪天犯病自己换掉了，赖不到我头上……」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「警察会查清楚一切的。碧。」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「如果你拒绝回答的话，我就现在跟警察打电话，让他们来调查。我想很快你就会被带走吧……」,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「如果你告诉我的话，我会考虑让你今天跟出院的零见一面，明天再通知警察——」,碧的房间,,,,
碧,hide,hide,aoi-default,hide,「……你真卑鄙啊，黎先生。」,碧的房间,,,,
,hide,hide,aoi-default,hide,碧还是那种恶狠狠地表情，似乎要一口把我吃掉。,碧的房间,,,,
黎,hide,hide,aoi-default,hide,「谢谢夸奖。干我们这行的，多多少少都会这样。」,碧的房间,,,,
碧,hide,hide,aoi-default,hide,「…………」,碧的房间,,,,
碧,hide,hide,aoi-sad,hide,「…………」,碧的房间,,,,
碧,hide,hide,aoi-sad,hide,「好吧，我全部告诉你——」,碧的房间,,,,
碧,hide,hide,aoi-sad,hide,「但作为交换，你得答应我一件事——」,碧的房间,,,,
,hide,hide,zero-default,hide,（医院，1202号病房）,医院，1202号病房,,,,
黎,hide,hide,zero-default,hide,「……所以，那位少女只是暂时离开，而你把离别这件事也忘记了而已。」,医院，1202号病房,,,,
黎,hide,hide,zero-default,hide,「具体的事情去问碧吧，她已经鼓起勇气打算把一切告诉你了，即使会很残酷……」,医院，1202号病房,,,,
零,hide,hide,zero-suprise,hide,「诶——是这样吗，黎先生。」,医院，1202号病房,,,,
,hide,hide,zero-default,hide,少女狐疑地看着我——那是当然，毕竟“空存在”这件事，纯是我瞎编的。,医院，1202号病房,,,,
零,hide,hide,zero-sad,hide,「但是为什么，碧之前什么都不说呢……」,医院，1202号病房,,,,
零,hide,hide,zero-sad,hide,「不过这样，我就能明白，为什么我会觉得这么悲伤了……」,医院，1202号病房,,,,
黎,hide,hide,zero-sad,hide,「零……」,医院，1202号病房,,,,
,hide,hide,zero-sad,hide,我哽咽了，对少女撒谎的罪恶感贯穿了我。,医院，1202号病房,,,,
零,hide,hide,zero-serious,hide,「我明白了。谢谢你的帮忙，黎先生。」,医院，1202号病房,,,,
,hide,hide,zero-serious,hide,少女朝我鞠了一躬。,医院，1202号病房,,,,
零,hide,hide,zero-serious,hide,「我会找碧问个清楚的。谢谢你的情报，黎先生……」,医院，1202号病房,,,,
,hide,hide,hide,hide,…………,医院，1202号病房,,,,
,hide,hide,hide,hide,…………,医院，1202号病房,,,,
,hide,hide,hide,hide,直到最后，我都能清晰地感知到：少女绝对知道我在说谎。,医院，1202号病房,,,,
,hide,hide,hide,hide,但她没有拆穿我，已经是万幸了——毕竟这是我和碧之间的约定，作为她跟我讲述真相的条件。,医院，1202号病房,,,,
,hide,hide,hide,hide,后来的事情怎么样我不清楚了。,医院，1202号病房,,,,
,hide,hide,hide,hide,干我们这行，最重要的就是保守当事人的秘密，以及讲信用。所以我按照约定，第二天才通知警察。,医院，1202号病房,,,,
,hide,hide,hide,hide,第二天警察破门而入时，碧正呆呆地坐着，眼角有着哭过的痕迹。,医院，1202号病房,,,,
,hide,hide,hide,hide,碧对自己的所作所为供认不讳，但因为受到了被害人谅解且没有造成严重后果，据说仅仅是缓刑执行——,医院，1202号病房,,,,
,hide,hide,hide,hide,当然，既然得到了被害人谅解，说明零可能已经知道了全部真相。,医院，1202号病房,,,,
,hide,hide,hide,hide,我不知道零后来怎么样了，这对我来说只是一个普通得不能再普通的任务罢了——,医院，1202号病房,,,,
,hide,hide,hide,hide,我当时还没意识到，两年后的某天，我会再次见到零。,医院，1202号病房,,,,
,hide,hide,hide,hide,只是那次遇见，代表着我们被卷入了更大的事件罢了。,医院，1202号病房,,,,
Z999,,hide,hide,hide,hide,.,,,,loadscene(VNMainMenu),
